


Prop0 Cog6 ok
demo

P-part  I-part  d-part  pwm-value     Encoder-count
204400  -400    100     800000  1808
201600  -800    -100    800000  1814
200900  -200    150     800000  1814
197400  -1000   -200    800000  1824
191800  -1600   -150    800000  1834
186200  -1600   0       800000  1836
183400  -800    200     800000  1838
184800  400     300     800000  1841
181300  -1000   -350    800000  1843
178500  -800    50      800000  1850
175000  -1000   -50     800000  1862
165200  -2800   -450    800000  1868
161000  -1200   400     800000  1876
154700  -1800   -150    800000  1883
147000  -2200   -100    800000  1890
144200  -800    350     800000  1898
139300  -1400   -150    800000  1900
138600  -200    300     800000  1904
133000  -1600   -350    800000  1914
131600  -400    300     800000  1915
128800  -800    -100    800000  1919
126000  -800    0       800000  1920
125300  -200    150     800000  1922
119700  -1600   -350    800000  1931
119000  -200    350     800000  1936
113400  -1600   -350    800000  1942
110600  -800    200     800000  1945
107800  -800    0       800000  1950
105000  -800    0       800000  1950
98000   -2000   -300    800000  1964
92400   -1600   100     800000  1966
91000   -400    300     800000  1974
86100   -1400   -250    800000  1983
82600   -1000   100     800000  1986
76300   -1800   -200    800000  1996
71400   -1400   100     800000  2000
67900   -1000   100     800000  2009
59500   -2400   -350    800000  2012
59500   0       600     800000  2018
54600   -1400   -350    800000  2020
51100   -1000   100     800000  2031
46200   -1400   -100    800000  2035
43400   -800    150     800000  2044
35700   -2200   -350    800000  2053
32200   -1000   300     800000  2054
32200   0       250     800000  2057
29400   -800    -200    800000  2061
29400   0       200     800000  2064
21000   -2400   -600    800000  2071
22400   400     700     800000  2070
19600   -800    -300    800000  2073
18200   -400    100     800000  2078
18200   0       100     800000  2078
11200   -2000   -500    696000  2085
12600   400     600     800000  2087
7000    -1600   -500    392000  2094
1400    -1600   0       100000  2096
1400    0       400     144000  2099
0       -400    -100    0       2100
0       0       100     0       2100
0       0       0       0       2100
0       0       0       0       2100
0       0       0       0       2100
0       0       0       0       2100
0       0       0       0       2100
0       0       0       0       2100
0       0       0       0       2100
0       0       0       0       2100
Prop0 Cog6 ok

CON:Prop0 Cog0 RESET - last status: 0 ok

Prop0 Cog6 ok
