


Prop0 Cog6 ok
demo

P-part  I-part  d-part  pwm-value     Encoder-count
9000    -2000   -500    520000  973
7200    -1200   400     512000  980
5400    -1200   0       336000  980
6000    400     800     576000  982
5400    -400    -400    368000  982
4800    -400    0       352000  984
4200    -400    0       304000  986
4200    0       200     352000  986
3600    -400    -200    240000  988
3600    0       200     304000  988
3300    -200    -100    240000  989
3000    -200    0       224000  990
3000    0       100     248000  990
3000    0       0       240000  990
3000    0       0       240000  990
2700    -200    -100    192000  991
2400    -200    0       176000  992
2400    0       100     200000  992
2400    0       0       192000  992
2400    0       0       192000  992
2400    0       0       192000  992
2400    0       0       192000  992
2400    0       0       192000  992
2400    0       0       192000  992
2400    0       0       192000  992
2100    -200    -100    144000  993
2100    0       100     176000  993
2100    0       0       168000  993
2100    0       0       168000  993
1800    -200    -100    120000  994
1800    0       100     152000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1800    0       0       144000  994
1500    -200    -100    100000  995
1500    0       100     128000  995
1500    0       0       120000  995
1500    0       0       120000  995
1500    0       0       120000  995
1500    0       0       120000  995
1500    0       0       120000  995
1500    0       0       120000  996
1200    -200    -100    100000  996
1200    0       100     104000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  996
1200    0       0       100000  997
900     -200    -100    100000  997
900     0       100     100000  997
900     0       0       100000  997
900     0       0       100000  997
900     0       0       100000  997
900     0       0       100000  997
900     0       0       100000  997
900     0       0       100000  997
900     0       0       100000  997
900     0       0       100000  997
900     0       0       100000  997
900     0       0       100000  998
600     -200    -100    100000  998
600     0       100     100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
600     0       0       100000  998
300     -200    -100    100000  999
300     0       100     100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
300     0       0       100000  999
0       -200    -100    0       1000
0       0       100     0       1000
0       0       0       0       1000
0       0       0       0       1000
0       0       0       0       1000
0       0       0       0       1000
0       0       0       0       1000
0       0       0       0       1000
0       0       0       0       1000
0       0       0       0       1000
-120000         -120000         -120000         800000  1000
-120000         0       120000  100000  998
-118800         1200    1200    800000  996
-118800         0       -1200   800000  994
-117600         1200    1200    800000  990
-117000         600     -600    800000  984
-115200         1800    1200    800000  980
-114600         600     -1200   800000  984
-115200         -600    -1200   800000  981
-113400         1800    2400    800000  976
-113400         0       -1800   800000  977
-112200         1200    1200    800000  970
-112200         0       -1200   800000  975
-112200         0       0       800000  973
-112500         -300    -300    800000  974
-113100         -600    -300    800000  973
-111600         1500    2100    800000  972
-111000         600     -900    800000  966
-110400         600     0       800000  965
-109200         1200    600     800000  960
-109200         0       -1200   800000  964
-109200         0       0       800000  964
-108600         600     600     800000  964
-109200         -600    -1200   800000  961
-107400         1800    2400    800000  958
-106800         600     -1200   800000  953
-105600         1200    600     800000  948
-103200         2400    1200    800000  941
-102000         1200    -1200   800000  938
-100800         1200    0       800000  932
-98700  2100    900     800000  926
-97200  1500    -600    800000  920
-94800  2400    900     800000  918
-95400  -600    -3000   800000  916
-95700  -300    300     800000  919
-94800  900     1200    800000  914
-93600  1200    300     800000  910
-91800  1800    600     800000  901
-90600  1200    -600    800000  896
-88500  2100    900     800000  892
-87000  1500    -600    800000  888
-85800  1200    -300    800000  882
-83700  2100    900     800000  876
-81900  1800    -300    800000  869
-79800  2100    300     800000  862
-77400  2400    300     800000  856
-76200  1200    -1200   800000  852
-75600  600     -600    800000  850
-73800  1800    1200    800000  843
-72000  1800    0       800000  838
-70200  1800    0       800000  832
-68400  1800    0       800000  826
-67200  1200    -600    800000  824
-66600  600     -600    800000  818
-64200  2400    1800    800000  810
-61800  2400    0       800000  804
-60300  1500    -900    800000  798
-59400  900     -600    800000  800
-60000  -600    -1500   800000  800
-59400  600     1200    800000  794
-57000  2400    1800    800000  786
-54600  2400    0       800000  779
-52800  1800    -600    800000  776
-51900  900     -900    800000  773
-51600  300     -600    800000  770
-50100  1500    1200    800000  764
-48600  1500    0       800000  758
-46500  2100    600     800000  750
-43800  2700    600     800000  746
-43200  600     -2100   800000  742
-42600  600     0       800000  740
-40800  1800    1200    800000  733
-39000  1800    0       800000  728
-37800  1200    -600    800000  722
-36000  1800    600     800000  718
-34200  1800    0       800000  712
-33600  600     -1200   800000  710
-32400  1200    600     800000  705
-30600  1800    600     800000  700
-29400  1200    -600    800000  691
-27300  2100    900     800000  688
-25200  2100    0       800000  680
-23400  1800    -300    800000  674
-21900  1500    -300    800000  670
-20700  1200    -300    800000  667
-19200  1500    300     800000  662
-18000  1200    -300    800000  658
-17400  600     -600    800000  658
-16500  900     300     800000  650
-14400  2100    1200    800000  646
-13800  600     -1500   800000  640
-11400  2400    1800    576000  638
-10800  600     -1800   800000  636
-10800  0       -600    800000  633
-9000   1800    1800    432000  628
-7500   1500    -300    504000  622
-6000   1500    0       360000  620
-5100   900     -600    384000  615
-4200   900     0       264000  612
-3300   900     0       192000  610
-3000   300     -600    264000  610
-3000   0       -300    264000  610
-2700   300     300     168000  609
-2700   0       -300    240000  609
-2400   300     300     144000  608
-2400   0       -300    216000  608
-2400   0       0       192000  608
-2400   0       0       192000  608
-2400   0       0       192000  608
-2400   0       0       192000  608
-2400   0       0       192000  608
-2400   0       0       192000  607
-2100   300     300     120000  607
-2100   0       -300    192000  607
-1800   300     300     100000  606
-1800   0       -300    168000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  606
-1800   0       0       144000  605
-1500   300     300     100000  605
-1500   0       -300    144000  605
-1500   0       0       120000  605
-1500   0       0       120000  605
-1500   0       0       120000  605
-1200   300     300     100000  604
-1200   0       -300    120000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
